"Task No","Task (AR)","Task (EN)","Source"
1,"مطابقة المصارف","Bank reconciliation","Document A §13"
2,"جرد الصناديق وخزائن المشاريع","Count of cash boxes and project safes","Document A §13"
3,"مراجعة القيود غير المرحّلة","Review of unposted entries","Document A §13"
4,"مطابقة المقاولين","Contractor reconciliation","Document A §13"
5,"مطابقة الموردين","Supplier reconciliation","Document A §13"
6,"مطابقة السلف","Advances reconciliation","Document A §13"
7,"مطابقة حساب عبد الحميد هيلان","Reconciliation of the Abdul Hamid Haylan account","Document A §13"
8,"مطابقة حساب ياس جاسم","Reconciliation of the Yas Jassim account","Document A §13"
9,"مطابقة قروض المساهمين","Shareholder loan reconciliation","Document A §13"
10,"مطابقة تمويل السيد محمد الشمري","Reconciliation of Mr. Mohammed Al-Shammari's funding","Document A §13"
11,"مطابقة الإيرادات","Revenue reconciliation","Document A §13"
12,"احتساب ومطابقة حصة الحكومة 20٪","Computation and reconciliation of the government share","Document A §13"
13,"استحقاق الرواتب","Salary accrual","Document A §13"
14,"استحقاق المصروفات","Expense accruals","Document A §13"
15,"تسوية المدفوع مقدماً","Prepayment release","Document A §13"
16,"مراجعة التصنيف الرأسمالي والتشغيلي","Review of CAPEX / OPEX classification","Document A §13"
17,"مراجعة الأصول قيد الإنشاء","Review of assets under construction","Document A §13"
18,"مراجعة الأصول الثابتة","Review of fixed assets","Document A §13"
19,"مراجعة الإطفاء والإهلاك","Review of amortization and depreciation","Document A §13"
20,"مطابقة المحتجزات","Retention reconciliation","Document A §13"
21,"تصفية الحساب الوسيط","Clearance of the suspense account","Document A §13"
22,"مراجعة المستندات الناقصة","Review of missing documents","Document A §13"
23,"مراجعة ميزان المراجعة","Trial balance review","Document A §13"
24,"إعداد القوائم المالية","Preparation of the financial statements","Document A §13"
25,"اعتماد الإدارة","Management approval","Document A §13"
