"Entity / Table",Purpose,"Primary Key","Foreign Keys","Key fields (type · obligation)",Notes
companies,"The reporting entity. SHH-01 is the only row at go-live; the table exists so consolidation is possible later without restructuring.","company_id (BIGINT, identity)",—,"code (VARCHAR 10, UQ, NOT NULL) · name_ar (NVARCHAR 200, NOT NULL) · name_en (NVARCHAR 200, NOT NULL) · currency (CHAR 3, NOT NULL, default IQD) · decimals_allowed (BIT, default 0) · accounting_start (DATE, NOT NULL) · is_active (BIT)","Currency and decimal policy live here so that the no-decimals rule is enforced centrally."
fiscal_years,"Accounting years.","fiscal_year_id (BIGINT)","company_id → companies","year_code (VARCHAR 9, NOT NULL) · start_date (DATE) · end_date (DATE) · status (VARCHAR 20: Open/Closed) · closed_by (BIGINT → users) · closed_at (DATETIME2)","UQ (company_id, year_code)."
accounting_periods,"Monthly accounting periods and their lock state.","period_id (BIGINT)","fiscal_year_id → fiscal_years, company_id → companies","period_code (VARCHAR 7, e.g. 2023-05) · period_no (TINYINT 1-12) · start_date · end_date · status (VARCHAR 20: Open / Soft Close / Final Close / Locked) · soft_closed_by · final_closed_by · reopened_by · reopened_reason (NVARCHAR 500) · locked_at","UQ (company_id, period_code). Posting is validated against status by VR-09."
accounts,"The approved Chart of Accounts — 145 rows migrated from File 1.","account_id (BIGINT)","company_id → companies, parent_account_id → accounts (self)","account_code (VARCHAR 10, UQ, NOT NULL) · name_ar (NVARCHAR 200, NOT NULL) · name_en (NVARCHAR 200, NOT NULL) · account_type (VARCHAR 20: Asset/Liability/Equity/Revenue/Expense) · account_level (TINYINT, derived) · is_posting (BIT) · is_active (BIT) · normal_balance (CHAR 2: Dr/Cr) · fs_group_code (VARCHAR 10) · is_cash_account (BIT) · is_control_account (BIT) · control_subledger (VARCHAR 30) · requires_counterparty (BIT) · requires_advance_holder (BIT) · requires_contract (BIT)","The requires_* flags drive VR-06 to VR-08 declaratively instead of in code."
projects,"Analytical dimension — PRJ-01, PRJ-02, PRJ-03, CORP.","project_id (BIGINT)","company_id → companies","project_code (VARCHAR 12, UQ) · name_ar · name_en · project_type (VARCHAR 20: Project/Corporate) · is_active (BIT) · start_date · commercial_operation_date (DATE, NULL until set by parameter)","commercial_operation_date is NULL by default and may only be set through the parameter workflow (VR-39)."
cost_centers,"Functional cost centres — 19 rows. Never a vendor.","cost_center_id (BIGINT)","company_id → companies","cc_code (VARCHAR 15, UQ) · name_ar · name_en · cc_type (VARCHAR 20: Project/SG&A/Operations) · is_active (BIT)",
responsibility_centers,"Responsibility centres RC-01, RC-02, RC-CORP.","resp_center_id (BIGINT)","company_id → companies, linked_person_id → counterparties","rc_code (VARCHAR 15, UQ) · name_ar · name_en · is_active (BIT)","Derived at migration from the advance account used (see CONF-06)."
counterparties,"Single master for every external party: contractor, supplier, employee, advance holder, shareholder, government entity, other.","counterparty_id (BIGINT)","company_id → companies","cp_code (VARCHAR 20, UQ) · name_ar · name_en · cp_type (VARCHAR 25) · is_contractor (BIT) · is_supplier (BIT) · is_advance_holder (BIT) · is_shareholder (BIT) · is_employee (BIT) · is_government (BIT) · tax_id (VARCHAR 30, NULL) · contact (NVARCHAR 200) · is_active (BIT) · source_alias (NVARCHAR 300)","source_alias preserves the exact free-text name used in the source workbook so migration remains traceable."
shareholders,"Shareholder-specific attributes and the three account links.","shareholder_id (BIGINT)","counterparty_id → counterparties, loan_account_id / current_account_id / capital_account_id → accounts","sh_code (VARCHAR 10, UQ) · ownership_pct (DECIMAL 9,6, NULL) · is_approved_financier (BIT)","ownership_pct is NULL until the shareholding is documented; it must not be assumed."
contracts,"Government concession contract and commercial contracts.","contract_id (BIGINT)","company_id, counterparty_id → counterparties, project_id → projects","contract_no (VARCHAR 50, NULL allowed with status Pending) · contract_type (VARCHAR 30: Concession/Construction/Supply/Service) · signed_date · start_date · end_date · initial_term_years (SMALLINT) · contract_value (DECIMAL 19,0, NULL) · retention_pct (DECIMAL 5,2, NULL) · advance_recovery_pct (DECIMAL 5,2, NULL) · status (VARCHAR 20) · pending_fields (NVARCHAR MAX)","Unknown contract fields migrate as NULL with status Pending — never invented (File 2 Contract Register)."
