Step,Object,Source,Target,Volume,"Transformation rule","Reconciliation control"
MIG-01,"Chart of Accounts","File 1 · Chart of Accounts–شجرة الحسابات, rows 4–148",accounts,"145 rows","Code, Arabic name, English name, type, parent, posting flag, active flag map one to one. account_level, normal_balance, is_cash_account, is_control_account and the requires_* flags are derived.","Count = 145 · Active posting = 141 · Non-posting = 2 (112100, 115030) · Inactive = 2 (112031, 112036) · every parent code resolves"
MIG-02,Projects,"File 1 · COA column I",projects,"4 rows","PRJ-01, PRJ-02, PRJ-03, CORP loaded verbatim with Arabic and English names.","Count = 4 · every project used in the ledger resolves"
MIG-03,"Cost Centers","File 1 · COA column J",cost_centers,"19 rows","Codes and bilingual names loaded verbatim; cc_type taken from File 2 Dimensions where the code exists there, CC-100D typed as Project.","Count = 19 · every cost centre used in the ledger resolves · 2 ledger rows carry no cost centre and migrate with a NULL plus an exception"
MIG-04,"Responsibility Centers","File 2 · Dimensions rows 32–35",responsibility_centers,"3 rows","RC-01, RC-02, RC-CORP. Assignment to journal lines is DERIVED: advance accounts 112030/112031/112032 → RC-01, 112035/112036/112037 → RC-02, everything else → RC-CORP.","Count = 3 · derivation logged as system-derived, never as source data"
MIG-05,Shareholders,"File 2 · Master Data rows 6–9","counterparties + shareholders","4 rows","SH-01 to SH-04 with their loan, current-account and capital account links.","Count = 4 · each of 221001–221004, 222001–222004 and 310001–310004 has exactly one owner"
MIG-06,"Advance holders","File 2 · Master Data rows 13–14 + File 1 Journal col E",counterparties,"2 primary + additional holders found in the ledger","P-01 and P-02 with their advance and personal-receivable accounts; further holders created from the 53 distinct funding recipients.","Count reconciles to the distinct funding recipients in the ledger"
MIG-07,"Contractors & suppliers","File 2 · Master Data rows 18–25 + File 1 Journal col E and col AC",counterparties,"8 named + those present only in the ledger","Each distinct free-text name in the ledger is matched to a counterparty; the original string is kept in source_alias. Near-duplicates (CN-04 / CN-11 Gulf Shield) are merged under one code with the other as an alias.","Every ledger row resolves to exactly one counterparty · no counterparty is created as a cost centre"
MIG-08,"Bank / cash / safe accounts","File 2 · Master Data rows 29–34 + File 1 COA 111xxx",bank_accounts,"8 rows","One row per 111xxx account, bound to its GL account and its project.","Count = 8 · exactly one bank_account per 111xxx account · 111002 is the only one with movement"
MIG-09,Contracts,"File 2 · Contract Register",contracts,"1 row (government concession)","The concession contract with the State Company for Land Transport. Fields marked ""To be defined"" load as NULL with status Pending.","No field is populated with an invented value · pending_fields lists every unfilled field"
MIG-10,"Funding batches","File 1 · Journal col Q + Direct Funding Audit Control + Dar Al-Ataa Reconstruction + 2026 Entries Control",funding_batches,"One row per distinct source reference","Series recognised: AMER-nnn, ABS-nn, ABA-nn, ABA-48-n, DF-nnn, TAJ-DAR-nn, ACC-JV-YYYY-nnnnn, ACC-JV-UNREG-nnnnn.","Every journal line with a source reference resolves to a funding batch · batch amounts agree to the control sheets"
MIG-11,"Historical journal — headers","File 1 · Journal Ledger rows 4–2047 (1,195 data rows)",journal_headers,"1,195 rows","One header per source row. jv_no, txn_date, description, source presence, source reference, date status and reconciliation status carry across unchanged. posting_date is set to the transaction date where one exists and otherwise to the migration cut-off date, with date_status preserving the fact. status = Posted, is_migration = 1.","Count = 1,195 · JV numbers identical to source · 884 dated, 311 undated · no date invented"
MIG-12,"Historical journal — lines","File 1 · Journal Ledger columns G–L",journal_lines,"2,390 rows (1,195 × 2)","Each source row produces one debit line (Dr account, debit amount) and one credit line (Cr account, credit amount), inheriting project, cost centre, custodian, funding category, chain step, source amount, amount difference and actual receiver.","Count = 2,390 · sum(debit) = sum(credit) = 83,989,216,460 · per-account totals agree to the source trial balance line by line"
MIG-13,"Opening balances","File 2 · Setup rows 20–141","journal_lines (opening entry)","0 value","All opening balances are zero at inception (May 2023); the position is rebuilt entirely from the migrated journal. No opening-balance entry is created.","Total opening debit = total opening credit = 0"
MIG-14,"Duplicate flags","File 1 · Duplicate Control · Duplicate Test · Direct Fund Duplicate Review",duplicate_flags,"All flagged rows","Every ledger row carrying POSSIBLE AMER DUPLICATE (70) or REQUIRES MANUAL REVIEW (6) migrates with its flag, match reason and value at risk. The Direct-Funding register migrates as source-carried flags.","Flag counts agree to the source · total value at risk = 700,595,000"
MIG-15,Exceptions,"File 1 · Exceptions & Review · Yas Jassim Expense Audit · Difference Audit · 2026 Entries Control",exceptions,"≈220 rows","Classification exceptions, the 12 pending-evidence rows, the AMER-799 unidentified receipt, the suspense shortfall, the anonymised-payee rows and the two review-required 2026 rows all migrate as open exceptions with their original text.","No exception is closed, netted or removed during migration"
MIG-16,"Reclassification log","File 1 · سجل تحديث التبويب المعتمد",audit_logs,"230 rows","Each approved reclassification becomes an audit_log row with object, old value, new value, reason and approval reference.","230 approved · 227 applied · 9 deliberately not applied · value applied 59,245,000 · value untouched 830,700,000"
MIG-17,"Advances and settlements","File 1 · Journal Ledger chain steps + Phase Control Summary + Yas Jassim Expense Audit","advances + advance_settlements",Derived,"Chain-step 1/2 entries create advance issues; chain-step 3 entries create settlements carrying the audit classification and evidence status.","112030 closes at nil · 112035 closes at a net credit of 99,796,000 · 112101 = 62,528,000 · 112102 = 803,206,750"
MIG-18,"Contractor position","File 1 · Dar Al-Ataa Reconstruction + Business Land Reconciliation","counterparties + journal_lines + contracts",Derived,"The alliance position migrates as contractor advances with no expense recognition; Business Land migrates as direct shareholder funding to 115050, not as a supplier advance.","112020 net = 20,515,766,000 · Business Land three-level control = 339,648,730 at each level · supplier advances 112021 for Business Land = 0"
MIG-19,"Report mappings","Document C tab ""Financial Statement Mapping""",report_mappings,"One row per posting account per statement","Loaded from the approved mapping table, effective from the accounting start date.","Every one of the 141 active posting accounts maps to exactly one SFP or P&L line"
MIG-20,Parameters,"File 2 · Setup rows 5–16",parameters,"15 rows","Entity, currency, decimals, FX rate, government share, contract term, commercial operation date (NULL), accounting start.","commercial_operation_date is NULL · government share = 0.20 with an effective-from date"
MIG-21,"Closing checklist","File 2 · Monthly Closing rows 6–30",closing_checklist,"25 tasks per period","The 25-task template is loaded and instantiated for each period from 2023-05 onward.","Template count = 25 · one instance per period in the migrated range"
MIG-22,"Example data exclusion","File 2 · Journal Ledger sample rows",—,"0 rows","The 34 sample lines in File 2 (8,888,000,000 on each side) are never loaded.","Example row count in the system = 0 — a go-live acceptance condition stated by File 2 itself"
