Workbook,Worksheet,"Accounting / system function",Authority,"Becomes module","Becomes report","Control function?","Excel-only / obsolete?","Conflict identified & resolution"
"File 1","Journal Ledger–سجل القيود","Primary double-entry ledger — 1,195 entries, one row per self-balancing entry (Dr account + Cr account on the same row). Carries project, cost centre, custodian, funding category, chain step and 13 reconciliation/control fields.",AUTHORITATIVE,"M03 Journal & Posting Engine","RPT-05 Account Ledger · RPT-04 Trial Balance","Yes — source presence, reconciliation status, duplicate review, date comparison","No — becomes journal_headers + journal_lines","Row-level Dr/Cr layout conflicts with File 2 line-per-leg layout. Resolution: keep File 1 as the DATA source, adopt File 2 normalisation as the STRUCTURE (each File 1 row migrates to 1 header + 2 lines)."
"File 1","Chart of Accounts–شجرة الحسابات","Approved Chart of Accounts: 145 accounts, 141 active posting, 2 non-posting parents (112100, 115030), 2 inactive (112031, 112036). Columns I–V additionally hold the approved master value lists for projects, cost centres, source presence, reconciliation status, duplicate review, date comparison and funding category.","AUTHORITATIVE — OVERRIDES FILE 2","M01 Master Data & COA","RPT-01 Chart of Accounts","Yes — built-in dropdown integrity check (141 = 141, MATCHED)",No,"File 2 COA has 126 rows and omits 112060–112069, 112100–112102, 115032–115037, 115039, 116000 group, and the 115030 parent. File 1 prevails in full."
"File 1","Trial Balance–ميزان المراجعة","System-generated trial balance — every figure a live SUMIFS over the ledger. Includes group subtotals, a custodian reconciliation block (112030 vs 112101) and three formal control lines.",AUTHORITATIVE,"M07 Reporting Engine","RPT-04 Trial Balance","Yes — three balance proofs (gross movement, net balances, agreement to ledger)",No,"None. Design is superior to File 2 (adds group subtotals + control block); File 2 adds opening/period/closing columns which are adopted."
"File 1","الخلاصة المالية للتمويل (Funding Summary)","Management funding control sheet: K1–K4 headline controls and Sections A–G tracing Mr. Al-Shammari funding to its final economic use by custodian and by account.","AUTHORITATIVE (management control)","M05 Shareholder Funding","RPT-11 Shareholder Funding Statement · RPT-12 Funding Utilisation by Use","Yes — K4 open difference of −99,796,000 is deliberately NOT forced to zero",No,"None — File 2 ""Shareholders Funding"" sheet is the simplified version of the same idea."
"File 1","Chain Control–معادلات الرقابة","Funding chain equations: 221001 → 111002 → 112030/112035/112020/112010 → final accounts, with a zero-control test at each node.","AUTHORITATIVE (control)","M09 Controls & Reconciliation","RPT-20 Funding Chain Control","Yes — the core three-level control",No,"No File 2 equivalent. This is an SHH-specific control that MUST be built."
"File 1","Three-Level Control","Historical working paper for the Yas Jassim three-level test (Level 1 221001→111002, Level 2 111002→112035, Level 3 112035→final accounts) naming each JV that causes the difference.","AUTHORITATIVE (audit trail, point-in-time)","M09 Controls & Reconciliation","RPT-20 Funding Chain Control",Yes,"Partly — the sheet is a snapshot; the system reproduces it as a live report","Figures on the sheet reflect an earlier stage (288,661,500) than the current ledger position (99,796,000). Both are retained; the system reports the live figure and keeps the working paper as an audit document."
"File 1","Phase Control Summary","Live custodian positions (Abdul Hamid, Yas Jassim) plus point-in-time phase snapshots of earlier reconciliation stages.","AUTHORITATIVE (mixed live + historical)","M04 Advances & Custodians","RPT-13 Advance Position · RPT-14 Advance Aging",Yes,"Partly — phase snapshots are historical evidence, not live data",None.
"File 1","Duplicate Control","Phase-one duplicate control over the ABS-ABA funding ledger: every source reference classified EXCLUDED / POSTED, plus the confirmed and probable Direct-Funding duplicates (DF-12 removed, DF-56 held unposted).","AUTHORITATIVE (control)","M09 Controls & Reconciliation","RPT-22 Duplicate Register",Yes,No,None.
"File 1","Duplicate Test","Forensic test of each new Step-3 settlement against the 311 pre-existing settlements; identifies AMER-799 (208,268,750) as the single true duplicate and sets out three management options to reach zero.","AUTHORITATIVE (forensic evidence)","M09 Controls & Reconciliation","RPT-22 Duplicate Register",Yes,"No — one-off forensic paper, but the TEST becomes a system control (VR-30)",None.
"File 1","Difference Audit","Line-by-line explanation of the 99,796,000 excess credit on 112035, reconciled to zero unexplained.","AUTHORITATIVE (forensic evidence)","M09 Controls & Reconciliation","RPT-21 Open Differences",Yes,No,None.
"File 1","Direct Funding Audit Control","115-line Direct Funding Ledger of Mr. Al-Shammari with per-line JV mapping, Dr/Cr accounts, project, cost centre, payee, date status and treatment. Master financial control lines A–G.",AUTHORITATIVE,"M05 Shareholder Funding","RPT-11 Shareholder Funding Statement",Yes,"No — becomes funding_batches + journal entries","None. Status is explicitly OPEN / PROVISIONAL for 2026."
"File 1","Direct Fund Duplicate Review","Register of Direct-Funding rows with an exact-value counterpart elsewhere; total potential duplicate value 700,595,000 held inside the ledger pending manual decision.","AUTHORITATIVE (control)","M09 Controls & Reconciliation","RPT-22 Duplicate Register",Yes,No,"None — these rows must migrate WITH their duplicate flag intact."
"File 1","Business Land Reconciliation","Supplier-statement reconciliation for Ard Al-Aamal (Business Land): nine payments, Fiber/BEXY split, three-level control at 339,648,730, and the management determination that these are direct shareholder funding, not supplier advances.","AUTHORITATIVE (supplier statement governs)","M06 Contractors & Suppliers","RPT-17 Contractor/Supplier Reconciliation",Yes,No,"None. Supplier statement overrides the Direct Funding Ledger on dates, references and amounts."
"File 1","Dar Al-Ataa Reconstruction","Reconstruction of the Dar Al-Ataa & Taj Al-Marwa alliance account from the governing contractor statement: 23 source payments, gross 21,500,000,000, recovery 1,000,000,000, net 20,500,000,000 carried in 112020; removal audit note for the superseded JVs.","AUTHORITATIVE (contractor statement governs)","M06 Contractors & Suppliers","RPT-16 Contractor Subledger · RPT-17 Contractor Reconciliation","Yes — removal audit note",No,"ACCOUNT NOT CLOSED. No civil-works expense recognition has been made; the whole balance sits in Contractor Advances pending certification."
"File 1","2026 Entries Control","29-row control over the 2026 unrecorded transactions: duplicate and posting decision per row, with Dr/Cr account, cost centre and accounting note; financial control lines A–E.",AUTHORITATIVE,"M03 Journal & Posting Engine","RPT-23 Unposted / Review-Required Register",Yes,No,"Status explicitly OPEN / INCOMPLETE — further 2026 entries may arrive."
"File 1","Yas Jassim Expense Audit","349-row expense audit working paper classifying each settlement A–D (valid PRJ-01 / valid PRJ-03 / personal receivable / pending evidence) with the final population and decomposition of the closing advance.","AUTHORITATIVE (working paper)","M04 Advances & Custodians","RPT-15 Advance Settlement Audit","Yes — 12 PENDING EVIDENCE rows remain open exceptions",No,"The decomposed closing advance on this sheet (1,116,357,250) reflects the audit stage; the live ledger position of 112035 is a net credit of 99,796,000. Both are retained and must be explained side by side."
