"Report ID","Report (EN)","التقرير (عربي)",Module,Content,Filters,"Source entities",Export,Phase
RPT-01,"Chart of Accounts","شجرة الحسابات","Master Data","Full account register with type, parent, level, posting flag, active flag and financial statement mapping.","Account group, type, posting flag, active flag","accounts, report_mappings","Excel, PDF","Phase 1"
RPT-02,"Master Data Register","سجل البيانات الرئيسية","Master Data","Shareholders, counterparties, advance holders, cash accounts, projects, cost centres, responsibility centres, contracts.","Entity type, active flag","counterparties, shareholders, projects, cost_centers, responsibility_centers, bank_accounts, contracts","Excel, PDF","Phase 1"
RPT-03,"Journal Report","تقرير القيود",Journal,"Journal headers and lines with every dimension and control field; supports every filter in the filter engine.",All,"journal_headers, journal_lines","Excel, PDF, Print","Phase 1"
RPT-04,"Trial Balance","ميزان المراجعة",Reporting,"Account code, Arabic and English names, opening Dr/Cr, period Dr/Cr, closing Dr/Cr, with group subtotals and the three balance proofs.","Date range, year, period, entity, project, cost centre, responsibility centre, account, account group","journal_lines, accounts, accounting_periods","Excel, PDF, Print","Phase 1"
RPT-05,"Account Ledger (drill-down)","أستاذ الحساب",Reporting,"Every movement on an account with running balance, drilling through to the journal entry and the attached document.","Account, date range, project, cost centre, counterparty","journal_lines, journal_headers, documents","Excel, PDF","Phase 1"
RPT-06,"Statement of Financial Position","قائمة المركز المالي","Financial Statements","Mapping-driven balance sheet with comparative columns.","Date, year, period, project, entity, comparative basis","report_mappings, journal_lines","Excel, PDF, Print","Phase 1"
RPT-07,"Profit & Loss Statement","قائمة الأرباح والخسائر","Financial Statements","Gross revenue, government share, net retained revenue, direct operating costs, gross operating result, administrative expenses, net result.","Date range, year, period, project, cost centre, comparative basis","report_mappings, journal_lines","Excel, PDF, Print","Phase 1"
RPT-08a,"Cash Flow Statement (statutory)","قائمة التدفقات النقدية النظامية","Financial Statements","Indirect-method statement: operating, investing and financing sections reconciling to the movement in 111xxx.","Date range, year, period, project","report_mappings, journal_lines","Excel, PDF","Phase 2"
RPT-08b,"Management Funding & Cash Movement Summary","ملخص التمويل والحركة النقدية الإدارية","Management Reporting","Funding received, funding utilised by use, recoveries, closing cash — the File 1 funding-summary view. Explicitly NOT a statutory cash flow statement.","Date range, project, shareholder, funding batch","journal_lines, funding_batches","Excel, PDF","Phase 1"
RPT-09,"Statement of Changes in Equity","قائمة التغيرات في حقوق الملكية","Financial Statements","Opening equity, contributions, conversions, reserves, result, closing equity.","Fiscal year","report_mappings, journal_lines","Excel, PDF","Phase 2"
