ID,"Transaction Type (EN)","النوع (عربي)","Business event","Debit logic","Credit logic","Required dimensions","Required documents","Approval workflow","Reports affected","Control rules"
TT-01,"Shareholder Funding — Cash Received","تمويل مساهم — نقد مستلم","A shareholder transfers funds to an SHH cash account, safe or bank account.","Dr 111001/111002/111003/111010/111011 (cash or bank account receiving the funds)","Cr 221001–221004 Shareholder Loan, or 222001–222004 Shareholder Current Account, or 310010 Capital Contributions Pending Registration — per the approved classification of the funding instrument","Project (mandatory) · Cost Center (mandatory) · Shareholder (mandatory) · Funding Source · Funding Batch · Cash/Bank account (mandatory) · Actual Payment Source (audit only)","Transfer advice or receipt voucher; shareholder instruction where the classification is loan vs capital","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-10 · RPT-11 · RPT-20 · RPT-27","VR-01 Dr=Cr · VR-06 cash account mandatory · VR-08 counterparty mandatory · VR-20 funding is never revenue"
TT-02,"Direct Payment by Shareholder on Behalf of SHH","دفع مباشر من المساهم نيابة عن الشركة","The shareholder (or Eidan Company on his behalf) pays a vendor, contractor or cost directly without the cash passing through an SHH account.","Dr the final economic account — 115xxx CIP, 116xxx acquisition, 118xxx fixed asset, 112xxx advance, 510xxx/610xxx expense","Cr 221001–221004 Shareholder Loan of the funding shareholder","Project · Cost Center · Shareholder · Counterparty (payee) · Funding Source · Funding Batch · Actual Payment Source · CAPEX/OPEX","Supplier invoice or receipt, and the funding party's payment evidence","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-11 · RPT-16 · RPT-18 · RPT-27","VR-01 · VR-08 · VR-11 no cash account may be used · VR-30 duplicate test against the cash-funded population"
TT-03,"Third-Party Funding (non-shareholder)","تمويل من طرف آخر","A party who is not a shareholder funds a payment and the board approves recognition as a payable to that party.","Dr 111002 cash / safe, or the final economic account where paid directly","Cr 211090 Other Payables, with the funding party as counterparty","Project · Cost Center · Counterparty (mandatory) · Funding Source","Board minute approving the recognition; payment evidence","Senior Accountant → Finance Manager","RPT-04 · RPT-11 · RPT-20","VR-01 · VR-08 · VR-21 third-party funding may not be posted to 221xxx"
TT-04,"Cash Receipt (non-funding)","قبض نقدي","Cash received from a customer, refund, deposit return or other non-funding source.","Dr 111xxx cash / bank","Cr 112001 receivable, 410xxx revenue, 112040 deposits or the relevant account","Project · Cost Center · Cash/Bank account · Counterparty","Receipt voucher (RV)","Accountant → Senior Accountant","RPT-04 · RPT-10 · RPT-19","VR-01 · VR-06 · VR-22 revenue may only be credited to 410xxx"
TT-05,"Cash / Bank Payment (direct, no advance)","دفع نقدي مباشر","Payment made straight out of a safe or bank account to a payee, with the cost recognised immediately.","Dr the final economic account (115xxx / 118xxx / 510xxx / 610xxx / 211xxx)","Cr 111001/111002/111003/111010/111011","Project · Cost Center · Counterparty · Cash/Bank account · CAPEX/OPEX","Payment voucher (PV) plus invoice or receipt","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-05 · RPT-10 · RPT-18","VR-01 · VR-06 · VR-08 · VR-13 document status required"
TT-06,"Transfer Between Cash / Bank Accounts","مناقلة بين الحسابات النقدية","Movement of funds between two SHH cash, safe or bank accounts.","Dr the receiving 111xxx account (or 111020 Cash in Transit where the movement spans periods)","Cr the paying 111xxx account","Project · Cost Center · both Cash/Bank accounts","Internal transfer voucher","Accountant → Senior Accountant","RPT-10 · RPT-04","VR-01 · VR-06 · VR-23 both legs must be cash accounts · VR-24 self-transfer forbidden"
TT-07,"Issue of Custodian / Project Advance","صرف سلفة عهدة","Cash is issued from a project safe to a named custodian against a defined purpose and settlement deadline.","Dr 112030/112032 (Abdul Hamid), 112035/112037 (Yas Jassim), 112010 employee advances, 112020 contractor advances, 112021 supplier advances","Cr 111002 or the paying cash account","Project · Cost Center · Responsibility Center · Advance Holder (mandatory) · Cash account · Funding Batch","Advance request with purpose, amount and settlement deadline; approval","Accountant → Senior Accountant → Finance Manager","RPT-13 · RPT-14 · RPT-10 · RPT-20","VR-01 · VR-07 advance holder mandatory · VR-25 issuing an advance may never debit an expense or CIP account"
TT-08,"Sub-Advance from Custody","سلفة فرعية من العهدة","A custodian passes part of his custody to an employee or a secondary holder.","Dr 112010 Employee Advances (or the receiving advance account)","Cr 112030 / 112035 the originating custody account","Project · Cost Center · Responsibility Center · both advance holders","Written instruction of the originating custodian","Accountant → Senior Accountant","RPT-13 · RPT-14","VR-01 · VR-07 · VR-25"
TT-09,"Settlement of Advance — CAPEX","تسوية سلفة — نفقة رأسمالية","Approved documents prove that custody funds were spent on capitalisable project works.","Dr 115xxx Concession Assets under Construction (or 116xxx / 118xxx as approved)","Cr 112030 / 112032 / 112035 / 112037 / 112010 — ALWAYS the advance account","Project · Cost Center · Responsibility Center · Advance Holder · Counterparty · CAPEX/OPEX = CAPEX · Asset Class · Handover Requirement","Invoice, receipt, contract or certificate; approval of the classification","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-13 · RPT-15 · RPT-18 · RPT-20","VR-01 · VR-26 the advance account must be the credit side · VR-27 no expense/CIP account may ever be credited to settle an advance"
TT-10,"Settlement of Advance — OPEX / Administrative","تسوية سلفة — نفقة تشغيلية أو إدارية","Approved documents prove that custody funds were spent on operating or administrative costs.","Dr 510xxx Direct Operating Costs or 610xxx Administrative Expenses","Cr the advance account","Project · Cost Center · Responsibility Center · Advance Holder · Counterparty · CAPEX/OPEX = OPEX","Invoice, receipt or approved expense claim","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-07 · RPT-13 · RPT-15","VR-01 · VR-26 · VR-27"
TT-11,"Settlement of Advance — Fixed Asset","تسوية سلفة — أصل ثابت","Custody funds were spent acquiring a movable asset retained by SHH.","Dr 118001–118009 Retained Fixed Assets","Cr the advance account","Project · Cost Center · Advance Holder · Counterparty · Asset Class = Fixed Asset (Retained)","Purchase invoice and asset receipt","Accountant → Senior Accountant → Finance Manager","RPT-04 · RPT-13 · RPT-18","VR-01 · VR-26 · VR-27"
TT-12,"Reclassification of Custody Spend to Personal Receivable","إعادة تصنيف إلى ذمم شخصية","Spend from custody is determined not to be a company cost and becomes personally recoverable from the custodian.","Dr 112101 / 112102 Personal Receivable of that person","Cr 112030 / 112035 the advance account","Project · Cost Center · Responsibility Center · Advance Holder","Management determination naming the items and amounts","Senior Accountant → Finance Manager (board approval where material)","RPT-13 · RPT-15 · RPT-24","VR-01 · VR-26 · VR-28 personal receivable requires a named individual"
TT-13,"Refund of Unused Advance Cash","إعادة نقد غير مستخدم من السلفة","The custodian returns unspent cash to the safe or bank.","Dr 111xxx cash account","Cr the advance account","Project · Cost Center · Advance Holder · Cash account","Receipt voucher","Accountant → Senior Accountant","RPT-10 · RPT-13 · RPT-20","VR-01 · VR-06 · VR-26"
TT-14,"Contractor / Supplier Advance","سلفة مقاول أو مورد","An advance payment is made to a contractor or supplier ahead of certified work or delivery.","Dr 112020 Contractor Advances / 112021 Supplier Advances","Cr 111xxx cash or 221xxx where paid directly by the shareholder","Project · Cost Center · Counterparty (mandatory) · Contract · Work Package · Funding Batch","Signed contract or purchase order and the advance guarantee where required","Senior Accountant → Finance Manager","RPT-16 · RPT-17 · RPT-13 · RPT-10","VR-01 · VR-08 · VR-29 a contract reference is required above the approved threshold"
TT-15,"Certified Work Recognition","إثبات أعمال مصدّقة","An engineering certificate approves work executed by a contractor.","Dr 115xxx CIP (or 510xxx where the work is operating in nature)","Cr 211003 Certified Works Payable","Project · Cost Center · Counterparty · Contract · Work Package · CAPEX/OPEX · Asset Class","Signed progress certificate and measurement sheet","Senior Accountant → Finance Manager","RPT-16 · RPT-17 · RPT-18 · RPT-06","VR-01 · VR-08 · VR-29 · VR-31 certified value may not exceed contract value plus approved variations"
TT-16,"Advance Recovery Against Certified Work","استقطاع السلفة من الأعمال المصدّقة","Part of a contractor advance is recovered against certified work at the contractual recovery rate.","Dr 211003 Certified Works Payable","Cr 112020 Contractor Advances","Counterparty · Contract · Project","Certificate showing the recovery calculation","Senior Accountant → Finance Manager","RPT-16 · RPT-17","VR-01 · VR-32 cumulative recovery may not exceed the advance issued"
