ID,Enhancement,Module,Description,Phase,Justification
RE-01,"Journal normalisation",M03,"Replace the single-row Dr/Cr layout with journal_headers + journal_lines so that multi-line entries (1:N, N:1, N:N) become possible without changing any historical figure.","Phase 1","Required for contractor certification, retention and payroll entries which are inherently multi-line."
RE-02,"Counterparty master separated from cost centres",M01,"Create a single counterparties table with sub-types (contractor, supplier, employee, advance holder, shareholder, government entity, other). The 53 distinct funding recipients in the ledger become counterparty records.","Phase 1","File 2 Policy 13 already forbids treating contractors as cost centres; the ledger currently carries them only as free text."
RE-03,"Account 211090 genericised",M01,"Rename 211090 to ""Other Payables"" and carry Hassan Yaqoub as the counterparty on JV-1028.","Phase 1","A person's name inside an account name prevents reuse and breaks the counterparty subledger."
RE-04,"Funding batch as a first-class object",M05,"Introduce funding_batches keyed on the source reference series (AMER-nnn, ABS-nn, ABA-nn, DF-nnn, TAJ-DAR-nn, ACC-JV-…) so that every journal line inherits a traceable funding batch instead of a free-text source reference.","Phase 1","Every reconciliation in File 1 is performed by source population; the system must be able to reproduce it natively."
RE-05,"Chain-step as an enumerated control field","M05 / M09","Persist the 12 funding-chain steps as an enumeration on the journal line and validate the permitted account pairs per step.","Phase 1","The chain-step is what makes the three-level control computable."
RE-06,"Date-status field retained",M03,"Keep an explicit date_status enumeration (OK / NO DATE IN SOURCE / MISSING / INCONSISTENT) so that the 311 undated historical entries remain visible rather than being given an invented date.","Phase 1","Assignment §37 forbids fabricating dates; the field is the mechanism that enforces it."
RE-07,"Statutory cash flow statement",M07,"Build a proper indirect-method cash flow statement alongside the management funds-flow summary, and name them differently on screen.","Phase 2","File 2 conflates the two."
RE-08,"Statement of Changes in Equity",M07,"Add a Statement of Changes in Equity covering capital, contributions pending registration, reserves, retained earnings and the current result.","Phase 2","Required once capital is registered and results are struck."
RE-09,"Contract and work-package registers",M13,"Build contracts and work_packages as master tables with amendments and change orders, rather than as free-text journal columns.","Phase 2","Needed before certified-work accounting can be operated."
RE-10,"Document repository with status",M16,"Attach evidence to the journal header and line with a controlled status (Complete / Partial / Missing) that feeds the exceptions report and can never be silently cleared.","Phase 1","Assignment §21."
RE-11,"Maker–checker on master data","M01 / M17","Apply the same Draft → Submitted → Reviewed → Approved workflow to the Chart of Accounts and master data as to journals.","Phase 2","Assignment §6 requires COA changes to be controlled and logged."
RE-12,"Parameterised government share",M14,"Hold the share percentage, eligibility flags and effective dates in a parameter table with full history.","Phase 1","Assignment §14 — must be parameter-driven and auditable."
RE-13,"Advance aging and settlement deadline",M04,"Add issue date, settlement deadline and aging buckets to the advance record and drive an exception when the deadline passes.","Phase 1","Assignment §11."
RE-14,"Bilingual account and dimension names as separate fields",M01,"Store Arabic and English names in separate columns everywhere (already the case in the COA) and render by user language.","Phase 1","Enables a true RTL Arabic UI without string parsing."
RE-15,"Duplicate-detection service",M09,"Implement the File 1 duplicate tests as a service: exact amount + counterparty + period, exact source reference, and near-date matching, returning a score and a required disposition.","Phase 1","The 700,595,000 of potential duplicates must remain visible and dispositionable in the system."
RE-16,"Immutable posted entries with controlled reversal",M03,"Once posted, an entry can only be reversed or adjusted by a new entry carrying a reason and a link to the original.","Phase 1","Assignment §23."
RE-17,"Reporting mapping table",M07,"Drive every financial statement line from a report_mappings table rather than from code.","Phase 1","Assignment §17."
RE-18,"Project safe custodianship",M11,"Record the responsible accountant and last physical count date per cash account and require them at period close.","Phase 1","Assignment §4."
