"Test ID",Module,Scenario,Preconditions,Input,"Expected accounting entry","Expected system behaviour","Expected report impact","Expected control result","Pass / Fail",Comments
UAT-001,Journal,"Post a balanced two-line entry","An open period exists; the user holds Create and the reviewer holds Approve and Post.","Dr 115033 Security Fence 100,000,000 / Cr 111002 Project Safe 100,000,000, PRJ-01, CC-SEC, counterparty CN-02, cash account 111002, document Complete.","One header with two lines, debit = credit = 100,000,000.","Entry moves Draft → Submitted → Reviewed → Approved → Posted and receives the next JV number.","Trial balance 115033 debit +100,000,000; Cash Position 111002 payments +100,000,000; CIP register additions +100,000,000.","VR-01, VR-04, VR-05, VR-06 all pass.",,
UAT-002,Journal,"Reject an unbalanced entry","As UAT-001.","Dr 115033 100,000,000 / Cr 111002 90,000,000.","No entry is created.","Posting is blocked with a message naming the 10,000,000 difference.","No report changes.","VR-01 blocks.",,
UAT-003,Journal,"Reject a posting to a non-posting parent","Account 115030 exists as a non-posting parent.","Dr 115030 50,000,000 / Cr 111002 50,000,000.","No entry is created.","The account is not selectable and the API rejects it.","No report changes.","VR-04, VR-38 block.",,
UAT-004,Journal,"Reject a posting to an inactive account","Account 112031 is inactive.","Dr 112031 10,000,000 / Cr 111002 10,000,000.","No entry is created.","The account is not selectable and the API rejects it.","No report changes.","VR-04 blocks.",,
UAT-005,Journal,"Reject a line carrying both a debit and a credit","As UAT-001.","A line with debit 5,000,000 and credit 5,000,000.","No entry is created.","Validation error on the line.","File 2 integrity counter stays at zero.","VR-03 blocks.",,
UAT-006,Journal,"Post a multi-line entry (one debit, three credits)","As UAT-001.","Dr 211003 300,000,000 / Cr 112020 100,000,000, Cr 211004 15,000,000, Cr 111002 185,000,000.","One header, four lines, total debit = total credit = 300,000,000.","Entry posts normally.","Contractor subledger shows the recovery, the retention and the payment.","VR-01, VR-32, VR-33 pass.",,
UAT-007,Periods,"Reject a posting into a closed period","Period 2023-05 is at Final Close.","An entry with posting date 2023-05-15.","No entry is created.","Posting is blocked naming the period and its status.","No report changes.","VR-09 blocks.",,
UAT-008,Periods,"Reopen a closed period with authorisation","Period 2023-05 is at Final Close; the user is the Finance Manager.","Reopen with a written reason.","No journal entry.","Period status returns to Open; the reason is mandatory.","RPT-28 shows the reopening; RPT-32 records it as a high-risk action.","VR-09 and the audit rule both apply.",,
UAT-009,Workflow,"Prevent a user approving his own entry","A Senior Accountant created the entry.","The same user attempts Review and Approve.","No status change.","Blocked with a maker–checker message.","Entry remains Submitted.","VR-16 blocks.",,
UAT-010,Workflow,"Prevent editing a posted entry","A posted entry exists.","The user edits the amount.","No change.","Blocked; the system offers reversal or adjustment instead.","No report changes.","VR-18 blocks.",,
UAT-011,Workflow,"Reverse a posted entry","A posted entry of 100,000,000 exists in an open period.","Reversal with reason ""duplicate payment"".","A new entry mirroring the original, linked to it.","Original is marked Reversed; both remain visible.","Trial balance net effect is nil; RPT-26 shows both entries.","VR-51, VR-52 pass.",,
UAT-012,"Shareholder Funding","Shareholder funding received in cash","Shareholder SH-01 exists.","IQD 500,000,000 received into 111002.","Dr 111002 500,000,000 / Cr 221001 500,000,000.","Entry posts as TT-01.","RPT-11 funding +500,000,000; Cash Position receipts +500,000,000; RPT-20 Level 1 +500,000,000.","VR-01, VR-06, VR-08, VR-20 pass.",,
UAT-013,"Shareholder Funding","Direct payment by the shareholder to a supplier","Counterparty CN-03 exists.","IQD 25,000,000 paid directly by SH-01 for fibre works; actual payment source ""Eidan Company bank account"".","Dr 115050 25,000,000 / Cr 221001 25,000,000.","Entry posts as TT-02 with no cash account.","RPT-11 funding +25,000,000; CIP 115050 +25,000,000; Cash Position unchanged.","VR-11 blocks any attempt to add a cash account.",,
UAT-014,"Shareholder Funding","Spending project funds does not reduce the shareholder loan","A loan balance of 38,043,476,980 exists.","Post CAPEX of 1,000,000,000 out of 111002.","Dr 115022 / Cr 111002.","Entry posts.","RPT-11 closing loan is unchanged at 38,043,476,980.","VR-20 — the test is that the loan does NOT move.",,
UAT-015,"Shareholder Funding","Third-party funding is not posted to a shareholder loan","Board approval exists for Hassan Yaqoub.","IQD 7,125,000 funded by a non-shareholder.","Dr 111002 7,125,000 / Cr 211090 7,125,000 with the counterparty named.","Entry posts as TT-03; any attempt to credit 221001 is blocked.","RPT-11 excludes it; SFP payables +7,125,000.","VR-21 blocks the wrong treatment.",,
UAT-016,Advances,"Issue an advance to a custodian","Advance holder P-01 exists.","IQD 200,000,000 issued from 111002 with a purpose and a 90-day deadline.","Dr 112030 200,000,000 / Cr 111002 200,000,000.","An advance record is created with status Open.","RPT-13 outstanding +200,000,000; RPT-14 shows it in the 0–30 bucket.","VR-07, VR-25 pass; VR-25 blocks any attempt to debit an expense instead.",,
UAT-017,Advances,"Issuing an advance may not be expensed","As UAT-016.","Attempt Dr 610001 / Cr 111002 flagged as an advance issue.","No entry is created.",Blocked.,"No report changes.","VR-25 blocks.",,
UAT-018,Advances,"Settle an advance to CAPEX on approved documents","An advance of 200,000,000 is outstanding.","Settlement of 150,000,000 to 115033 with an invoice attached.","Dr 115033 150,000,000 / Cr 112030 150,000,000.","A settlement record is created; the advance falls to 50,000,000.","RPT-13 outstanding 50,000,000; CIP +150,000,000; RPT-15 shows the classification.","VR-26, VR-27 pass.",,
UAT-019,Advances,"An advance may not be settled by crediting an expense account","As UAT-018.","Attempt Dr 112030 / Cr 115033.","No entry is created.","Blocked with the posting-direction message.","No report changes.","VR-26, VR-27 block.",,
UAT-020,Advances,"Reclassify unsupported custody spend to a personal receivable","A management determination exists.","IQD 62,528,000 reclassified from 112030 to 112101.","Dr 112101 62,528,000 / Cr 112030 62,528,000.","Entry posts as TT-12 with the approval reference.","RPT-13 advance falls; SFP personal receivables +62,528,000; the combined position of the person is unchanged.","VR-26, VR-28 pass.",,
UAT-021,Advances,"Advance aging and the overdue exception","An advance is outstanding past its settlement deadline.","Run RPT-14 as at a date after the deadline.","No journal entry.","The advance appears in the Overdue bucket.","RPT-14 and RPT-24 both show it.","RE-13 behaviour.",,
UAT-022,Contractors,"Contractor advance and its recovery","Contract CT-0001 exists with a 20% recovery rate.","Advance 1,000,000,000; later a certificate of 2,000,000,000 with a 400,000,000 recovery.","Dr 112020 / Cr 111002 for the advance; Dr 115xxx / Cr 211003 for the certificate; Dr 211003 / Cr 112020 for the recovery.","All three post; cumulative recovery is tracked.","RPT-16 shows advance, certified, recovery and payable; RPT-17 agrees to the GL.","VR-29, VR-31, VR-32 pass.",,
UAT-023,Contractors,"Recovery may not exceed the advance issued","Advance of 1,000,000,000 with 900,000,000 already recovered.","A further recovery of 200,000,000.","No entry is created.",Blocked.,"No report changes.","VR-32 blocks.",,
UAT-024,Contractors,"Retention withholding","Contract retention is 10%.","A certificate of 1,000,000,000.","Dr 211003 100,000,000 / Cr 211004 100,000,000.","Retention posts.","RPT-16 retention held 100,000,000; SFP retention payable +100,000,000.","VR-33 checks the percentage.",,
UAT-025,Contractors,"Payment may not exceed the outstanding payable","Outstanding payable is 500,000,000.","A payment of 600,000,000.","No entry is created.",Blocked.,"No report changes.","VR-34 blocks.",,
UAT-026,CIP,"Capitalise a project cost to Concession CIP","Project PRJ-01 is under construction.","IQD 300,000,000 of civil works with asset class Concession CIP and handover required.","Dr 115034 300,000,000 / Cr 211003 300,000,000.","Entry posts.","RPT-18 additions +300,000,000 with the handover classification.","VR-38 pass; VR-22 not applicable.",,
UAT-027,CIP,"Transfer from CIP to the concession right is blocked before the operation date","The commercial operation date parameter is NULL.","Attempt Dr 117001 / Cr 115xxx.","No entry is created.","Blocked naming the missing parameter.","No report changes.","VR-39 blocks — the system must never assume a commercial operation date.",,
UAT-028,CIP,"Transfer from CIP after the operation date is set","The Finance Manager sets the commercial operation date with a board reference.","Transfer of 8,402,056,980 from 115xxx to 117001.","Dr 117001 / Cr the relevant 115xxx accounts.","Entry posts as TT-23.","RPT-18 transfers out; SFP concession rights increase; CIP falls.","VR-39 now passes; the parameter change is in RPT-32.",,
