ID,Subject,"Conflict identified","Decision taken",Basis
CONF-01,"Chart of Accounts","File 1 carries 145 accounts; File 2 carries 126 and omits the employee-custody series (112060–112069), the personal-receivable series (112100–112102), the civil-works children (115032–115037, 115039), the whole 116000 investment group and the 115030 non-posting parent.","File 1 prevails in full. The File 2 chart is superseded and must not be loaded.","Source-priority rule §1"
CONF-02,Projects,"File 2 Accounting Policy 2 states ""two projects only: PRJ-01 and PRJ-02"". File 1 carries PRJ-03 — BEXY 100-Dunum Development — with 16 posted entries and a dedicated cost centre CC-100D.","File 1 prevails: three projects (PRJ-01, PRJ-02, PRJ-03) plus CORP. Policy 2 is superseded and Document A restates it.","Source-priority rule §1"
CONF-03,"Cost centres","File 2 lists 18 cost centres; File 1 lists 19 (adds CC-100D).","File 1 prevails — 19 cost centres.","Source-priority rule §1"
CONF-04,"Land value","File 2 Policy 4 and the CIP register carry land at IQD 6,800,000,000. The authoritative trial balance carries 115001 at IQD 3,050,000,000.","File 1 prevails. The 6,800,000,000 is illustrative and must not appear anywhere in the system or its reports.","Source-priority rule §1 + §37 (no invented balances)"
CONF-05,"Journal structure","File 1 records one self-balancing entry per row (Dr account + Cr account + one amount). File 2 records one line per leg grouped by JV No.","DATA from File 1, STRUCTURE from File 2. Each File 1 row migrates to one journal header and exactly two journal lines. No amount, date, description or account changes.","Assignment §5 (normalised design)"
CONF-06,"Responsibility centres","File 1 has no responsibility-centre column. File 2 defines RC-01, RC-02 and RC-CORP.","File 2 structure adopted. At migration the responsibility centre is DERIVED from the funding recipient / advance account (112030/112031/112032 → RC-01; 112035/112036/112037 → RC-02; all else → RC-CORP) and recorded as system-derived, not as source data.","Assignment §7"
CONF-07,"Advance account names","File 2 names 112030 ""Advance – Abdul Hamid Haylan (Execution)"" and 112035 ""Advance – Yas Jassim (Execution)"". File 1 names them after the persons (Abu Sajad / Abu Ahmed).","File 1 names prevail. The Execution/Operating/Administrative triplet structure from File 2 is retained as the account PURPOSE attribute.","Source-priority rule §1"
CONF-08,"Account 211090","File 1 COA names it ""Other Payables – Hassan Yaqoub""; the File 1 trial balance and File 2 name it ""Other Payables"".","Generic name ""Other Payables / ذمم دائنة أخرى"" becomes the account name; ""Hassan Yaqoub"" becomes a counterparty on the journal line (JV-1028, IQD 7,125,000).","Recommended Enhancement RE-03"
CONF-09,"Account 610019 name","File 1 COA: ""Approved Administrative & Legle Expenses / مصروفات إدارية قانونية"". File 2: ""Other Approved Administrative Expenses"".","File 1 prevails, with the spelling corrected to ""Approved Administrative & Legal Expenses"" at migration. The correction is logged; the code, classification and balances are unchanged.","Source-priority rule §1"
CONF-10,"Funding category master list","The File 1 COA master list holds nine funding categories. The ledger uses eleven: two values (""Direct Funding – Mohammed Al-Shammari"", ""Recycled Contractor Recovery"") are not in the master list, and one master value (""Corporate / Non-Project"") is unused.","All eleven values are loaded as the approved reference set and the two ledger-only values are flagged as additions requiring formal approval. No ledger row is re-tagged.","Exception EXC-SYS-01"
CONF-11,"Source presence master list","The COA master list holds eight values; the ledger uses nine, four of which are not in the list (""2026 قيود"", the Dar Al-Ataa statement name, ""MANAGEMENT DECISION"", ""DIRECT FUNDING LEDGER"").","All values are loaded as the approved reference set; the four additions are flagged for formal approval. No ledger row is re-tagged.","Exception EXC-SYS-02"
CONF-12,"Yas Jassim closing advance","The Yas Jassim Expense Audit working paper decomposes a closing project advance of IQD 1,116,357,250. The live ledger position of 112035 is a NET CREDIT of IQD 99,796,000.","The live ledger figure is the accounting position. The working paper is retained as an audit document with an explicit note that it reports an earlier stage of the same reconciliation.","Exception EXC-OPEN-02"
CONF-13,"Cash Position book balances","File 2 Cash Position shows sample balances (497,000,000). The authoritative ledger shows 111002 with equal debits and credits of 36,391,971,980 and a NIL closing balance; no other cash or bank account has movement.","File 1 prevails. The Cash Position module must derive every book balance from posted GL transactions — never from an input cell.","Assignment §4"
CONF-14,"Revenue and government share","File 2 shows revenue of 100,000,000 and a 20% share of 20,000,000. The authoritative ledger carries NIL in every 410xxx account and in 213001 and 510001.","File 1 prevails: no revenue has been recognised. The revenue and government-share modules are built for the operating phase and delivered with zero balances.","Assignment §14"
CONF-15,"Sample journal rows","The File 2 journal contains 34 example lines totalling 8,888,000,000 on each side, flagged EXAMPLE by the workbook itself.","Never migrated. The migration control requires an example-row count of zero.","File 2 Dashboard note"
