"Requirement ID",Requirement,Module,"Business rule(s)","Screen / Process","Database entity(ies)",Report(s),"UAT case(s)",Phase
REQ-001,"The system shall maintain a single approved Chart of Accounts of 145 accounts as migrated from the authoritative workbook, with bilingual names, type, parent, level, posting flag and active flag.",M01,"VR-04, VR-38, VR-60","Chart of Accounts maintenance",accounts,RPT-01,"UAT-003, UAT-004","Phase 1"
REQ-002,"The system shall prevent posting to non-posting parent accounts and to inactive accounts.",M01,"VR-04, VR-38","Account lookup · Posting API","accounts, journal_lines","RPT-01, RPT-24","UAT-003, UAT-004","Phase 1"
REQ-003,"Every change to the Chart of Accounts shall require approval and be written to the audit log with previous and new values.","M01, M10",VR-60,"Chart of Accounts maintenance · Approval","accounts, approvals, audit_logs","RPT-26, RPT-32",UAT-050,"Phase 1"
REQ-004,"The system shall maintain analytical dimensions separately from accounts: project, cost centre, responsibility centre, counterparty, funding source, funding batch, funding category, contract, work package, CAPEX/OPEX, asset class and handover requirement.",M02,"VR-05, VR-07, VR-08","Dimension maintenance · Journal entry","projects, cost_centers, responsibility_centers, counterparties, funding_*, contracts, work_packages","All reports (filters)",UAT-047,"Phase 1"
REQ-005,"Contractors and suppliers shall be maintained as counterparties in a subsidiary ledger and shall never be created as cost centres.","M01, M06","Policy 13","Counterparty maintenance",counterparties,"RPT-02, RPT-16",UAT-022,"Phase 1"
REQ-006,"The system shall record one journal header per transaction with any number of debit and credit lines.",M03,"VR-01, VR-02, VR-03","Journal entry","journal_headers, journal_lines",RPT-03,"UAT-001, UAT-006","Phase 1"
REQ-007,"The system shall reject any transaction whose total debit does not equal its total credit.",M03,VR-01,"Journal entry · Posting API","journal_headers, journal_lines",RPT-04,UAT-002,"Phase 1"
REQ-008,"A journal line shall carry either a debit or a credit, never both and never zero.",M03,VR-03,"Journal entry",journal_lines,RPT-24,UAT-005,"Phase 1"
REQ-009,"The user interface shall offer a simplified two-account entry screen for ordinary transactions while storing them in the normalised header and line structure.",M03,"VR-01, VR-02","Simple journal entry","journal_headers, journal_lines",RPT-03,UAT-001,"Phase 1"
REQ-010,"Project and cost centre shall be mandatory on every journal line.",M03,VR-05,"Journal entry",journal_lines,RPT-24,UAT-047,"Phase 1"
REQ-011,"The system shall implement the thirty-nine approved transaction types with declarative posting rules held in configuration rather than in code.",M03,"PR-01 … PR-35","Transaction type & posting rule maintenance","transaction_types, posting_rules",RPT-03,"UAT-012 … UAT-033","Phase 1"
REQ-012,"The system shall enforce the workflow Draft → Submitted → Reviewed → Approved → Posted, with maker–checker separation.","M03, M17","VR-16, VR-17","Journal workflow · Approval","journal_headers, approvals","RPT-23, RPT-32",UAT-009,"Phase 1"
REQ-013,"A posted entry shall not be editable or deletable; correction shall occur only through controlled reversal or adjustment.",M03,"VR-18, VR-51, VR-52","Journal reversal · Adjustment","journal_headers, audit_logs",RPT-26,"UAT-010, UAT-011","Phase 1"
REQ-014,"The journal number shall be system-generated, unique and gapless within its sequence.",M03,VR-10,"Posting API",journal_headers,RPT-03,UAT-001,"Phase 1"
REQ-015,"Shareholder funding shall never be recognised as revenue, and the spending of project funds shall never reduce a shareholder loan.",M05,"VR-20, Policy 11","Funding entry · Posting rules","journal_lines, shareholders",RPT-11,UAT-014,"Phase 1"
REQ-016,"The system shall distinguish the funding source, the legal accounting owner of the funding, the actual payment source, cash received by SHH and direct payment on behalf of SHH.",M05,"Policy 8, Policy 10","Funding entry","journal_lines, funding_sources, funding_batches","RPT-11, RPT-12","UAT-012, UAT-013","Phase 1"
REQ-017,"The system shall distinguish capital contribution, shareholder loan, shareholder current account, repayment and conversion to equity.",M05,"PR-01 … PR-03, PR-31, PR-32","Funding entry · Equity transactions","shareholders, accounts","RPT-11, RPT-09",UAT-012,"Phase 1"
REQ-018,"Funding from a non-shareholder shall be recognised as a payable to that party and never as a shareholder loan.",M05,VR-21,"Funding entry","journal_lines, counterparties",RPT-11,UAT-015,"Phase 1"
REQ-019,"The system shall maintain a shareholder funding subsidiary ledger reconciled to the general ledger control accounts.",M05,VR-55,"Funding reconciliation","journal_lines, shareholders, reconciliations",RPT-11,UAT-012,"Phase 1"
REQ-020,"The system shall trace funding through the chain shareholder → cash → advance or direct payment → final economic account and report the difference at each level.","M05, M09","VR-26, VR-27, RE-05","Funding chain control","journal_lines, funding_batches",RPT-20,UAT-052,"Phase 1"
REQ-021,"Issuing an advance shall never be recognised as an expense; cost is recognised only when the advance is settled on approved documents.",M04,VR-25,"Advance issue","advances, journal_lines",RPT-13,"UAT-016, UAT-017","Phase 1"
REQ-022,"When an advance is settled, the advance account shall be credited and no expense, CIP, fixed-asset or receivable account shall ever be credited to settle it.",M04,"VR-26, VR-27","Advance settlement","advance_settlements, journal_lines",RPT-15,"UAT-018, UAT-019","Phase 1"
REQ-023,"The advance record shall carry holder, project, responsibility centre, purpose, amount, issue date, settlement deadline, amount settled, amount outstanding, supporting documents and status.",M04,RE-13,"Advance maintenance","advances, documents","RPT-13, RPT-14","UAT-016, UAT-021","Phase 1"
