Phase,"Scope item"
"Phase 1 — required for go-live","M00 Policy & Parameters — entity, currency, no-decimals policy, government share rate, contract term, commercial operation date held as NULL"
"Phase 1 — required for go-live","M01 Master Data & Chart of Accounts — the 145 approved accounts, counterparties, shareholders, advance holders, bank/cash/safe accounts"
"Phase 1 — required for go-live","M02 Dimensions — projects, cost centres, responsibility centres, funding sources, funding categories, funding batches"
"Phase 1 — required for go-live","M03 Journal & Posting Engine — headers and lines, the 39 transaction types, the 35 posting rules, the Draft→Posted workflow, reversal and reclassification"
"Phase 1 — required for go-live","M04 Advances & Custodians — issue, settle, refund, reclassify, aging, settlement audit"
"Phase 1 — required for go-live","M05 Shareholder Funding — funding statement, utilisation analysis, funding chain control"
"Phase 1 — required for go-live","M06 Contractors & Suppliers — subledger with advances, certification, retention, payments and the GL reconciliation"
"Phase 1 — required for go-live","M07 Reporting Engine — mapping-driven trial balance, SFP, P&L and management funds-flow summary with full drill-down"
"Phase 1 — required for go-live","M09 Controls & Reconciliation — duplicate detection, exceptions register, open-differences register, chain control"
"Phase 1 — required for go-live","M10 Audit Trail — complete change log on journals, COA, master data, mappings, reconciliations, period locks and approvals"
"Phase 1 — required for go-live","M11 Cash & Bank Management — derived book balances, reconciliation with variance and supporting document"
"Phase 1 — required for go-live","M12 Concession & CIP — CIP register with handover classification; transfer and amortization blocked until the operation date is set"
"Phase 1 — required for go-live","M15 Period Management & Closing — open, soft close, final close, reopen with authorisation, 25-task checklist"
"Phase 1 — required for go-live","M16 Document Management — attachment with controlled status feeding the exceptions report"
"Phase 1 — required for go-live","M17 Security & Access — the eight roles, maker–checker, authentication and authorisation"
"Phase 1 — required for go-live","M18 Data Migration — the 22 migration steps and the 30 migration controls"
"Phase 2 — recommended enhancement","M08 Management Reporting extensions — comparative P&L, prior-year comparatives, variance and percentage-change analysis"
"Phase 2 — recommended enhancement","M13 Contracts & Work Packages — full contract master with amendments and change orders"
"Phase 2 — recommended enhancement","M14 Revenue & Government Share — operating-phase revenue capture, eligibility management and the share reconciliation (built in Phase 1 but exercised in Phase 2)"
"Phase 2 — recommended enhancement","Statutory cash flow statement (RPT-08a) and Statement of Changes in Equity (RPT-09)"
"Phase 2 — recommended enhancement","Fixed-asset register with depreciation schedules per asset"
"Phase 2 — recommended enhancement","Budgeting and commitment control against contracts and work packages"
"Phase 2 — recommended enhancement","Automated bank-statement import and matching"
"Phase 2 — recommended enhancement","Mobile approval application"
"Phase 2 — recommended enhancement","Integration with the yard operating system for automated revenue capture"
"Phase 2 — recommended enhancement","Consolidation across entities should SHH acquire or create further companies"
