"Exception ID",Category,Subject,"Amount / Volume",Status,Description,"Required action"
EXC-OPEN-01,"Open control difference","112035 Yas Jassim advance","IQD 99,796,000",Open,"The advance account carries a net credit of 99,796,000. Every dinar is explained on the File 1 Difference Audit: AMER-799 posted as a settlement (208,268,750), the deleted JV-0488 (−109,000,000) and the Amer account closing overdraft (527,250). Three resolution options are documented; none has been applied.","Management decision required — option A (recognise AMER-799 as funding) is the documented recommendation."
EXC-OPEN-02,"Stage difference","Yas Jassim closing advance","IQD 1,116,357,250 vs 99,796,000",Open,"The expense-audit working paper decomposes a closing advance of 1,116,357,250 while the live ledger shows a net credit of 99,796,000. The two figures belong to different stages of the same reconciliation.","Both are retained; the system reports the live ledger figure and keeps the working paper as an audit document."
EXC-OPEN-03,"Unidentified source receipt",AMER-799,"IQD 208,268,750",Open,"The Amer cash sheet records a receipt with no date, no description, no purpose and no counterparty. It was excluded from the funding population and is the single confirmed duplicate identified by the duplicate test.","Excluded pending source evidence; not used to reduce or close any account."
EXC-OPEN-04,"Probable duplicate held unposted","DF-56 / ABA-75","IQD 17,000,000",Open,"The same amount, beneficiary and period appear in both the Direct Funding Ledger and the Yas Jassim chain. The Direct-Funding leg is held unposted pending management confirmation.","Management confirmation required."
EXC-OPEN-05,"Potential duplicates carried in the ledger","Direct Funding Ledger","IQD 700,595,000",Open,"Rows with an exact-value counterpart elsewhere, flagged and filterable, none deleted. Each requires a manual decision.","Manual review per row; the flag migrates with the entry."
EXC-OPEN-06,"Suspense item","JV-0563 / AMER-508","IQD 3,803,500",Open,"The custodian received less than was funded (""نقص بالمبلغ المستلم"") and the source carries no date. Held in 112090 rather than netted.","Pending evidence per the management instruction of 24/08/2026."
EXC-OPEN-07,"Review required — possible duplicate","2026 source row 16","IQD 3,280,000",Open,"Generator maintenance possibly duplicating JV-1040/JV-1041 (DF-130). Not posted.","Review required before posting."
EXC-OPEN-08,"Classification review required","2026 source row 17","IQD 75,000,000",Open,"Purchase of the Yas Jassim interest in Shams Al-Haylan. No share-acquisition account exists for PRJ-01, so the entry was not posted.","An accounting decision on the classification is required; a new account may be needed."
EXC-OPEN-09,"Unpriced source line","DF-161 Gulf Shield Security","No amount at source",Open,"The Direct Funding Ledger line carries no amount, so nothing was posted. The 2026 Direct Funding Ledger is explicitly not complete.","The amount must be obtained from the source document."
EXC-OPEN-10,"Undetermined reclassifications","Reclassification log","IQD 830,700,000",Open,"Nine approved-register rows (four ""requires review"", five ""requires an accounting decision"") were deliberately not applied and remain in their current accounts.","Board decision required on each."
EXC-OPEN-11,"Amount under review","JV-0448 (ABS-12)","IQD 500,000,000",Open,"Project and account are approved but the ""amount requires review"" tag was not removed by the reclassification pass.","Amount and source review remain open."
EXC-OPEN-12,"Amount under review","JV-0838 (ABA-50)","IQD 500,000,000",Open,"A separate movement in the Yas Jassim chain, untouched and still under review within PRJ-01.","Review open."
EXC-OPEN-13,"Contractor account not closed","Dar Al-Ataa & Taj Al-Marwa alliance","IQD 20,500,000,000",Open,"The whole net position sits in 112020 Contractor Advances. No civil-works expense or CIP recognition has been made because no certified settlement or progress certificate has been received.","Certification documents required before any cost recognition."
EXC-OPEN-14,"Undated historical entries","Journal Ledger","311 entries",Open,"The source documents carry no usable date. The entries were posted with the fact recorded rather than with an invented date.","Dates may be set only when a source document is produced; the system refuses a date without evidence."
EXC-OPEN-15,"Entries with inconsistent dates","Journal Ledger","27 entries",Open,"The source date is internally inconsistent (for example day and month transposed relative to the matching source).","Review against the source document."
EXC-OPEN-16,"Anonymised payees","Eleven Yas Jassim rows","IQD 56,873,750",Open,"Payments recorded in the Amer sheet with the payee anonymised to initials (م.م. / د.م.م.).","Documented exception; the payee must be identified before the items can be regarded as fully evidenced."
EXC-OPEN-17,"Pending-evidence settlements","Yas Jassim expense audit","12 rows",Open,"Settlements whose classification could not be finalised on the available evidence. Their amounts remain where they are.","Evidence required per row."
EXC-SYS-01,"Reference-data gap","Funding category master list","2 values · 8 entries",Open,"""Direct Funding – Mohammed Al-Shammari"" and ""Recycled Contractor Recovery"" are used in the ledger but are not in the COA master list. ""Corporate / Non-Project"" is in the master list but unused.","Formal approval of the two additions is required; no ledger row is re-tagged."
EXC-SYS-02,"Reference-data gap","Source presence master list","4 values · 113 entries",Open,"""2026 قيود"", the Dar Al-Ataa statement name, ""MANAGEMENT DECISION"" and ""DIRECT FUNDING LEDGER"" are used in the ledger but are not in the COA master list.","Formal approval of the four additions is required."
EXC-SYS-03,"Missing dimension","Journal Ledger cost centre","2 entries",Open,"Two of the 1,195 entries carry no cost centre.","A cost centre must be assigned before the system enforces VR-05 on the migrated population, or the rows must be granted a documented exemption."
EXC-SYS-04,"Source document incomplete","2026 Direct Funding Ledger","Population open",Open,"The 2026 population is explicitly incomplete; further entries may arrive.","The 2026 periods must not be finally closed until the source population is confirmed complete."
EXC-SYS-05,"Contract data missing","Government concession contract","Multiple fields",Open,"Contract number, start date, end date, termination provisions, renewal conditions, performance guarantees, government approvals and the commercial operation date are all ""to be defined"".","The signed contract must be obtained. The system carries these as NULL with status Pending and blocks any function that depends on them."
